Date,Message
2026-06-29T20:00:00.000-03:00,"CSV=1782774000000,0.008296,0.008363,0.008283,0.00831,12388689,0.00798808,0.008173950905738,0.007802209094262,2.27394203710864,4.653706666387993,28.898550690546482,10.548505417190665,24.625415948060418,0.008541,3.140126597989323,18676390.6,0.66333422047834,2.039795241969585,0.007821343399258,-1,0.007966775243597,0.000183246980223"
2026-06-29T21:00:00.000-03:00,"CSV=1782777600000,0.008311,0.0086,0.0083,0.008586,33291373,0.00800566,0.008205181889526,0.007806138110474,2.431657118783489,4.984520689756682,34.160033007151604,9.440737568473162,26.7633635337373,0.0086,6.341342581124602,19819837.6,1.679699585429499,4.910380329506864,0.007865233153399,-1,0.007972936683959,0.0001949222822"
2026-06-29T22:00:00.000-03:00,"CSV=1782781200000,0.008591,0.008678,0.008358,0.008498,47832503,0.00802088,0.008228200393594,0.007813559606406,2.519632285029785,5.169517399435991,33.111488903003405,8.429087458657682,28.940310696685817,0.008678,4.513589964334043,21804572.8,2.193691361841311,6.574061324888983,0.007895709838059,-1,0.007978161194567,0.00020743005398"
2026-06-29T23:00:00.000-03:00,"CSV=1782784800000,0.008498,0.008544,0.008361,0.008388,23020900,0.00803238,0.008243758228775,0.007821001771225,2.564100291502189,5.263153107167465,31.07139792461967,7.909747922740429,30.972128048771097,0.008678,1.944579484686442,22818169.4,1.008884612803339,5.036659656750388,0.007895709838059,-1,0.007982239192631,0.000204987048582"
2026-06-30T00:00:00.000-03:00,"CSV=1782788400000,0.008388,0.0087,0.008376,0.008616,32613055,0.00804614,0.008272161592774,0.007820118407226,2.732315976166695,5.618137212966233,32.8584119523617,7.082024245294743,33.20979091894237,0.0087,4.083111862768782,22883277.8,1.425191586845133,5.297511996155467,0.007895709838059,-1,0.007988545270316,0.000216888343724"
2026-06-30T01:00:00.000-03:00,"CSV=1782792000000,0.008622,0.008657,0.008008,0.008104,89915447,0.00804862,0.008274582553535,0.007822657446465,2.73080305952363,5.6149390463144,26.832228040409017,16.18236764422739,32.646385740234166,0.0087,-1.291108404384899,30113251.7,2.985909588767526,2.246630342506574,0.007895709838059,-1,0.007989694073596,0.000260099509352"
2026-06-30T02:00:00.000-03:00,"CSV=1782795600000,0.008112,0.008142,0.007103,0.007451,228253567,0.00803664,0.008277593336561,0.007795686663439,2.910910535999221,5.996370039248436,20.411269084930844,33.15368898616656,32.05587494074819,0.0087,-8.811650960714715,51859438.6,4.401389084840575,-11.430081224300523,0.008636468675249,1,0.007984333933561,0.000337989558416"
2026-06-30T03:00:00.000-03:00,"CSV=1782799200000,0.007455,0.007553,0.007235,0.007375,71106195,0.00802068,0.008277948843042,0.007763411156958,3.107881528620296,6.415137944451719,18.92608990580389,30.741336849284618,31.504731527894613,0.0087,-9.542499693364416,58033857.6,1.225253635388181,-11.5173816295288,0.008401971807724,1,0.007978270909346,0.000335990602575"
2026-06-30T04:00:00.000-03:00,"CSV=1782802800000,0.007376,0.007554,0.007327,0.007506,54149550,0.00800696,0.008272873366343,0.007741046633657,3.214280632228475,6.642055570232783,17.95158686871122,29.1207462876014,30.986259562098816,0.0087,-9.761962010098593,62400417.2,0.867775448142356,-10.501984739039854,0.008401971807724,1,0.007973571696318,0.000325091542317"
2026-06-30T05:00:00.000-03:00,"CSV=1782806400000,0.007506,0.007576,0.00745,0.007532,21822601,0.00799502,0.008268481550496,0.007721558449504,3.307276539548727,6.840797158643396,17.936653029222942,28.23552008908839,30.407532581850983,0.0087,-9.263944103120103,61439388,0.355189101167479,-8.098140485777568,0.008401971807724,1,0.007969177948096,0.000305182388086"
2026-06-30T06:00:00.000-03:00,"CSV=1782810000000,0.007532,0.007548,0.007397,0.007439,17617617,0.00798238,0.008266438366537,0.007698321633463,3.436284817501239,7.117134652507732,17.26284862439818,28.49336476976464,30.01664660132138,0.0087,-10.48134777376654,61962280.8,0.284328090776155,-6.39214085761036,0.008341792447831,1,0.007963902545627,0.000289764149277"
2026-06-30T07:00:00.000-03:00,"CSV=1782813600000,0.007434,0.007471,0.007333,0.007457,15443924,0.00797112,0.008264470550707,0.007677769449293,3.549538338927234,7.360334575484612,16.650382577446948,29.127848928245065,29.832625567882797,0.0087,-13.149312834847423,60177535.9,0.256639355018855,-5.386304293365706,0.008225763203048,1,0.007958858739203,0.000274587734349"
2026-06-30T08:00:00.000-03:00,"CSV=1782817200000,0.007452,0.007507,0.00738,0.007507,15143708,0.00796298,0.008263365052225,0.007662594947775,3.635141983030898,7.544538658253982,17.045716695630155,28.1433106672063,29.480994578614943,0.0087,-11.661567427630036,56908656.4,0.266105526961624,-4.625272044086471,0.008222986882743,1,0.007954362632345,0.000259828960914"
2026-06-30T09:00:00.000-03:00,"CSV=1782820800000,0.007508,0.007575,0.007272,0.007345,43323058,0.00795114,0.008263734754275,0.007638545245725,3.782729765289643,7.862891466494805,15.690056561447076,28.739812128793695,29.47370044459474,0.0087,-12.434430138292795,58938872.2,0.73505067848923,-6.130160132650662,0.008215938194469,1,0.007948299322571,0.000264146064823"
2026-06-30T10:00:00.000-03:00,"CSV=1782824400000,0.007348,0.007419,0.007224,0.007284,27432224,0.00793758,0.008263817281131,0.007611342718869,3.947779458727921,8.2200691175726,14.874359248664287,28.525390694028314,29.605731797261765,0.0087,-15.45961002785516,58420789.1,0.469562709141839,-6.506525544085776,0.008093194375022,1,0.007941689379062,0.000257231458341"
2026-06-30T11:00:00.000-03:00,"CSV=1782828000000,0.007275,0.007444,0.007238,0.007359,27002527,0.00792456,0.008260493693457,0.007588626306543,4.066750801147549,8.478292635992988,14.72217446973954,26.940132239806225,29.58709416465282,0.0087,-9.192991115498518,52129497.1,0.517989401436217,-5.924974351165696,0.008093194375022,1,0.007935891474793,0.000252108312507"
2026-06-30T12:00:00.000-03:00,"CSV=1782831600000,0.007353,0.007469,0.007234,0.007388,24521991,0.007915,0.008259164786113,0.007570835213887,4.167065254483357,8.696520179725177,14.462419403007868,25.22660449703173,29.422708870492364,0.0087,-0.845524090726085,31756339.5,0.772191990200886,-4.167618544237321,0.008093194375022,1,0.007930439818327,0.000250397481256"
2026-06-30T13:00:00.000-03:00,"CSV=1782835200000,0.007388,0.00744,0.007282,0.007305,14719667,0.00790284,0.00825744323518,0.00754823676482,4.294346628615394,8.974070971442492,13.828800149549737,24.121390918080454,29.269282595942602,0.0087,-0.949152542372878,26117686.7,0.563589998190766,-2.956723322704445,0.008084473199391,1,0.007924216536553,0.00024115773313"
2026-06-30T14:00:00.000-03:00,"CSV=1782838800000,0.007305,0.007434,0.007238,0.007381,21340203,0.00789286,0.008254909389448,0.007530810610552,4.385867516742768,9.174098855126406,13.067854047323172,24.02936450463446,29.287868126635786,0.0087,-1.665334399147339,22836752,0.934467519724346,-2.489882516963912,0.008045925879452,1,0.007918811396886,0.000236641959817"
2026-06-30T15:00:00.000-03:00,"CSV=1782842400000,0.007384,0.007415,0.007242,0.007295,16526337,0.0078798,0.00825127963605,0.00750832036395,4.502085160550762,9.428656464635175,12.421462902467388,22.840770847553543,29.30521462194942,0.0087,-3.146574614976094,22307125.6,0.740854617324609,-2.43697312206309,0.008019333291507,1,0.00791260431831,0.000230277763836"
2026-06-30T16:00:00.000-03:00,"CSV=1782846000000,0.007299,0.007463,0.007287,0.007443,11380375,0.00787304,0.008249300652208,0.007496779347792,4.561121821971923,9.558205018847305,13.18122596621199,21.67227949188308,28.97567511471718,0.0087,0.053770668100547,21683401.4,0.524842702953421,-1.615241700446892,0.008019333291507,1,0.007907931638526,0.000224849987452"
2026-06-30T17:00:00.000-03:00,"CSV=1782849600000,0.00744,0.007526,0.007413,0.007442,20287046,0.00786686,0.008247585518451,0.007486134481549,4.616205768336691,9.679224454261258,14.628452643556171,20.935517117440128,28.226258239749697,0.0087,-0.201153278798448,22167713.6,0.915161859543332,-1.138190403190737,0.008019333291507,1,0.007903295502819,0.000213664988707"
2026-06-30T18:00:00.000-03:00,"CSV=1782853200000,0.007446,0.007456,0.006837,0.006873,70167569,0.00785104,0.008255556697307,0.007446523302693,4.899932398728465,10.304792672225084,12.195200008655522,32.93137328855418,29.40791678841285,0.0087,-8.445450912481684,27670099.7,2.535862528894322,-7.897627771653377,0.007909095469508,1,0.007893043806274,0.000254198489836"
2026-06-30T19:00:00.000-03:00,"CSV=1782856800000,0.006872,0.007772,0.006386,0.007575,536090002,0.00784948,0.008254906799311,0.007444053200689,4.911343146179372,10.330029487596091,8.716787548860566,32.8196521211855,31.315938283389695,0.0087,3.131381892443842,76946794.1,6.967021930807122,2.007050258360599,0.007909095469508,1,0.007889879191286,0.000367378640853"
2026-06-30T20:00:00.000-03:00,"CSV=1782860400000,0.007584,0.007645,0.007369,0.00755,73048914,0.0078474,0.008254089168776,0.007440710831224,4.927123519754473,10.36494045865593,8.216751430814139,30.936961812362142,33.09675834536808,0.008657,3.651839648544764,81508463.1,0.896212628992633,2.428975109601011,0.007909095469508,1,0.007886497308785,0.000358240776767"
2026-06-30T21:00:00.000-03:00,"CSV=1782864000000,0.00755,0.007556,0.007294,0.007344,38829109,0.00783924,0.008251812057221,0.007426667942779,4.999775253732119,10.525817737980745,7.763777284806944,30.80956028280002,34.87333241192944,0.008142,-0.203832042397068,82691121.3,0.469568055065181,1.587412401164556,0.007909095469508,1,0.007881099325613,0.000348616699091"
2026-06-30T22:00:00.000-03:00,"CSV=1782867600000,0.007346,0.007368,0.007126,0.007262,48241932,0.00782838,0.008248782706461,0.007407977293539,5.096542379907183,10.74047776069257,7.362121922627863,32.807130161923055,36.77140964579498,0.007772,-1.705468327016776,85063115.4,0.567131027039717,0.735866932814793,0.007909095469508,1,0.007874939133319,0.000337955029181"
