Date,Message
2026-07-01T18:00:00.000-03:00,"CSV=1782939600000,0.006853,0.006964,0.00685,0.006883,14518282,0.00743962,0.0079175616,0.0069616784,6.0364749446,12.8485493515,12.512121938,24.1196216279,43.908197387,0.007369,-2.9196050776,20227045,0.7177658427,-2.5283641676,0.0073859859,1,0.0077294563,0.0001733958"
2026-07-01T19:00:00.000-03:00,"CSV=1782943200000,0.006883,0.006925,0.006741,0.006807,30643140,0.0074127,0.0078875994,0.0069378006,6.020835817,12.8131291001,11.7113742288,26.3671913339,43.5468751937,0.007369,-2.7293512432,20739734.4,1.4775087959,-3.0297896013,0.0073563686,1,0.0077202777,0.0001744562"
2026-07-01T20:00:00.000-03:00,"CSV=1782946800000,0.006804,0.006809,0.006654,0.006691,18364194,0.00738016,0.0078475958,0.0069127242,5.9564207861,12.6673630159,11.0718430031,27.9924170533,43.531398042,0.007369,-4.8221906117,19515309.6,0.9410147406,-3.5324438833,0.0072490317,1,0.0077100361,0.0001725106"
2026-07-01T21:00:00.000-03:00,"CSV=1782950400000,0.006692,0.006971,0.006658,0.006941,25087232,0.00735296,0.0078053478,0.0069005722,5.7958698097,12.3049165635,15.37084966,25.0346054435,42.2237687152,0.007369,-2.294481982,20150631.8,1.2449848843,-3.3071610505,0.0072490317,1,0.007702384,0.0001865595"
2026-07-01T22:00:00.000-03:00,"CSV=1782954000000,0.006939,0.00703,0.006875,0.007017,16109950,0.0073271,0.007760603,0.006893597,5.5859447894,11.8328669961,16.5755951315,23.7055858433,40.5888874895,0.007369,-1.0016930023,20445453.3,0.7879478026,-2.467867967,0.0072490317,1,0.0076955643,0.0001834036"
2026-07-01T23:00:00.000-03:00,"CSV=1782957600000,0.007014,0.007015,0.006881,0.00692,15522447,0.00729378,0.007691816,0.006895744,5.1747986849,10.9143953573,15.7876800993,22.5787492329,39.0629983455,0.007331,-1.2134189864,20276420.8,0.7655417666,-1.9548862828,0.0072490317,1,0.0076878472,0.0001786632"
2026-07-02T00:00:00.000-03:00,"CSV=1782961200000,0.006918,0.007111,0.006851,0.007028,38138634,0.00726438,0.0076249048,0.0069038552,4.7282535509,9.9258252884,17.6629629091,20.5754019261,36.9665675562,0.007312,0.2567760342,21915633.8,1.7402478225,-1.1543062104,0.0072490317,1,0.0076812816,0.0001867969"
2026-07-02T01:00:00.000-03:00,"CSV=1782964800000,0.007028,0.00722,0.006988,0.007195,31691303,0.00724052,0.0075634049,0.0069176351,4.2690421861,8.9188331206,19.9555966076,18.9665278303,34.6715395842,0.007255,4.4267053701,20943748.4,1.5131628969,1.4632379668,0.0072490317,1,0.0076764429,0.0001913172"
2026-07-02T02:00:00.000-03:00,"CSV=1782968400000,0.007194,0.007437,0.007153,0.007338,34703422,0.00721496,0.0074717722,0.0069581478,3.437099209,7.1188814355,25.2067170138,17.2023030994,33.6183915725,0.007437,7.406323185,23354374.2,1.4859495571,4.6439661969,0.0066932436,-1,0.0076730753,0.0002005855"
2026-07-02T03:00:00.000-03:00,"CSV=1782972000000,0.007335,0.007473,0.007297,0.007386,22671858,0.0072006,0.0074253745,0.0069758255,3.0271128521,6.2432148638,24.9302849445,16.2016514641,32.7919028944,0.007473,7.7776156428,24745046.2,0.9162180509,5.4713080797,0.0067906192,-1,0.0076702189,0.0001981269"
