Date,Message
2026-06-16T14:00:00.000-03:00,"CLOSED=1781629200000,id=Entry,entry_time=1780938000000,entry_price=0.009416,exit_price=0.00615,size=106292.517,profit=-348.80590984129987,commission=1.6545493193,exit_comment=🏁 Exit"
2026-06-16T14:00:00.000-03:00,"CLOSED=1781629200000,id=DCA-1,entry_time=1781096400000,entry_price=0.006482,exit_price=0.00615,size=339401.419,profit=-116.96858983199995,commission=4.287318724,exit_comment=🏁 Exit"
2026-06-16T14:00:00.000-03:00,"CLOSED=1781629200000,id=DCA-2,entry_time=1781319600000,entry_price=0.005567,exit_price=0.00615,size=610632.183,profit=348.8437854020001,commission=7.154777287,exit_comment=🏁 Exit"
2026-06-16T14:00:00.000-03:00,"CLOSED=1781629200000,id=DCA-3,entry_time=1781416800000,entry_price=0.005396,exit_price=0.00615,size=852957.537,profit=633.2817351770003,commission=9.848247721,exit_comment=🏁 Exit"
2026-06-17T03:00:00.000-03:00,"STATE=1781676000000,level=1,ep1=0.007359,total_inv=1000,close=0.007359"
2026-06-17T04:00:00.000-03:00,"ENTRY=1781679600000,id=Entry,price=0.00736,size=135888.028,comment=🟢 Entry"
2026-06-17T19:00:00.000-03:00,"CLOSED=1781733600000,id=Entry,entry_time=1781679600000,entry_price=0.00736,exit_price=0.007601,size=135888.028,profit=30.715993960999988,commission=2.033020787,exit_comment=🏁 Exit"
2026-06-17T20:00:00.000-03:00,"ENTRY=1781737200000,id=Entry,price=0.007533,size=132766.861,comment=🟢 Entry"
2026-06-17T21:00:00.000-03:00,"CLOSED=1781740800000,id=Entry,entry_time=1781737200000,entry_price=0.007533,exit_price=0.007791,size=132766.861,profit=32.21933075999994,commission=2.034519378,exit_comment=🏁 Exit"
2026-06-17T22:00:00.000-03:00,"ENTRY=1781744400000,id=Entry,price=0.007535,size=132731.616,comment=🟢 Entry"
2026-06-19T08:00:00.000-03:00,"STATE=1781866800000,level=2,ep1=0.007534,total_inv=3200,close=0.006455"
2026-06-19T09:00:00.000-03:00,"ENTRY=1781870400000,id=DCA-1,price=0.006457,size=340821.068,comment=DCA-1"
2026-06-19T19:00:00.000-03:00,"STATE=1781906400000,level=0,ep1=na,total_inv=0,close=0.007901"
2026-06-19T19:00:00.000-03:00,"CLOSED=1781906400000,id=Entry,entry_time=1781744400000,entry_price=0.007535,exit_price=0.007727,size=132731.616,profit=23.458720347999932,commission=2.025749924,exit_comment=🏁 Exit"
2026-06-19T19:00:00.000-03:00,"CLOSED=1781906400000,id=DCA-1,entry_time=1781870400000,entry_price=0.006457,exit_price=0.007727,size=340821.068,profit=428.0085503319998,commission=4.834206028000001,exit_comment=🏁 Exit"
2026-06-20T04:00:00.000-03:00,"STATE=1781938800000,level=1,ep1=0.007637,total_inv=1000,close=0.007637"
2026-06-20T05:00:00.000-03:00,"ENTRY=1781942400000,id=Entry,price=0.007637,size=130941.469,comment=🟢 Entry"
2026-06-20T07:00:00.000-03:00,"CLOSED=1781949600000,id=Entry,entry_time=1781942400000,entry_price=0.007637,exit_price=0.007835,size=130941.469,profit=23.900484453200033,commission=2.0259264088,exit_comment=🏁 Exit"
2026-06-20T08:00:00.000-03:00,"ENTRY=1781953200000,id=Entry,price=0.007573,size=132048.065,comment=🟢 Entry"
2026-06-21T07:00:00.000-03:00,"STATE=1782036000000,level=0,ep1=na,total_inv=0,close=0.007928"
2026-06-21T07:00:00.000-03:00,"CLOSED=1782036000000,id=Entry,entry_time=1781953200000,entry_price=0.007573,exit_price=0.007777,size=132048.065,profit=24.910867461800027,commission=2.0269377982,exit_comment=🏁 Exit"
2026-06-22T23:00:00.000-03:00,"STATE=1782180000000,level=1,ep1=0.010118,total_inv=1000,close=0.010118"
2026-06-23T00:00:00.000-03:00,"ENTRY=1782183600000,id=Entry,price=0.010119,size=98833.761,comment=🟢 Entry"
2026-06-23T01:00:00.000-03:00,"CLOSED=1782187200000,id=Entry,entry_time=1782183600000,entry_price=0.010119,exit_price=0.010574,size=98833.761,profit=42.924194238000055,commission=2.045167017,exit_comment=🏁 Exit"
2026-06-23T02:00:00.000-03:00,"ENTRY=1782190800000,id=Entry,price=0.010195,size=98039.215,comment=🟢 Entry"
2026-06-25T02:00:00.000-03:00,"STATE=1782363600000,level=2,ep1=0.0102,total_inv=3200,close=0.007978"
2026-06-25T03:00:00.000-03:00,"ENTRY=1782367200000,id=DCA-1,price=0.007979,size=275758.335,comment=DCA-1"
2026-06-26T07:00:00.000-03:00,"STATE=1782468000000,level=3,ep1=0.0102,total_inv=6600,close=0.008011"
2026-06-26T08:00:00.000-03:00,"ENTRY=1782471600000,id=DCA-2,price=0.008008,size=424416.427,comment=DCA-2"
2026-06-28T13:00:00.000-03:00,"STATE=1782662400000,level=4,ep1=0.0102,total_inv=11200,close=0.007948"
2026-06-28T14:00:00.000-03:00,"ENTRY=1782666000000,id=DCA-3,price=0.007949,size=578761.952,comment=DCA-3"
2026-07-01T17:00:00.000-03:00,"STATE=1782936000000,level=5,ep1=0.0102,total_inv=16200,close=0.006853"
2026-07-03T08:00:00.000-03:00,"STATE=1783076400000,level=1,ep1=0.009139,total_inv=1000,close=0.009139"
2026-07-03T08:00:00.000-03:00,"CLOSED=1783076400000,id=Entry,entry_time=1782190800000,entry_price=0.010195,exit_price=0.009094,size=98039.215,profit=-109.83225413319995,commission=1.8910784182,exit_comment=🏁 Exit"
